,Text,Synthetic
0,"Omicron: The Art of Not Being Sick
https://t.co/3cqPjwYpzV https://t.co/DXNdDkZv",1
1,"In the fight against COVID-19, you can’t just wear a mask. 

The Global Mask Campaign is urging everyone to get vaccinated #SUNDAYSMOKE https",1
2,"The World Health Organization is reporting that over 21.5 million people in 11 countries have received at least one dose of the COVID-19 vaccine, which was administered to all adults and adolescents aged 15",1
3,"Unite Against Covid 
#UniteAgainstCorona https://t.co/rXFZQ2jB6D

###

       #",1
4,UPDATED: The United States has approved the Pfizer-BioNTech COVID-19 vaccine for use in children 6 to 11. https://t.co/J9Z4dO,1
5,"BTS' Jimin tested positive for COVID-19 and is currently receiving treatment at the Wuhan Medical University, according to a fan who spoke with @wlee_com. https://",1
6,"A few days ago I wrote about the importance of getting vaccinated and praying for a speedy recovery. 

Today, on my blog: COVID-19 Vaccination in India https://t.",1
7,"Mazda says it is recalling nearly 200,000 of its cars due to a possible link to two COVID-19 cases.

The company says some passengers could be exposed to the virus",1
8,"A new study shows that vaccinated people are less likely to die from COVID-19 than unvaccinated people.

It’s still a good idea for everyone to get vaccinated, but",1
9,"Is Meghan Markle the new face of COVID? https://t.co/B8Yw5zOjRi

###

        ",1
10,"The #COVID19 pandemic will have an impact on our lives for a long time to come.

We are all affected, some more than others, as we adapt and fight the virus",1
11,"If there were to be a ""Super Sunday"", it would potentially mean the end of traditional political parties, or even government.

A new poll shows that many voters are fed up with politics """,1
12,"So I was testing for COVID-19 today, and got a positive. I’m now on the wait list for my new mask https://t.co/XFvC7",1
13,"Covid-19 in India: The first case of Delta variant was reported in a 13-year-old girl

""We have now confirmed that she is actually only 13 years old.",1
14,"Covid-19 hospitalizations in the US have dropped sharply since the vaccine rollout. But that may change very soon.

The CDC is proposing a new rule that would require vaccines to include",1
15,"You look like you’ve been through hell and back. You lost your job, your home, even the ability to walk or breathe again. 
You have just begun the process of getting",1
16,"A new study finds that many of the benefits we think we're getting from #COVID19 vaccines are actually being lost.

The researchers found that vaccine recipients are losing a significant percentage of their",1
17,"The #COVID19 vaccination is not just a tool to protect us from the virus. It’s also an important part of our fight against poverty and inequality.

As we get closer",1
18,"@AjithIsagaraya

I have been in contact with the Minister of Education, @DrAmitabhSwaraj to discuss about the situation with parents/teachers regarding",1
19,"And this is what they're doing with the covid vaccine.
https://t.co/JZjz8SyvB6 https://t.co/bE4yL",1
20,"The DSCO has issued a new guideline for the safety of patients, staff and visitors to hospitals. 

The guideline includes: 
- Covid-19 testing every facility entry point",1
21,@YasminAlhawa @Aisha3 &amp; I have fought hard to help children in the #Oasis area who are struggling with their daily life due to Covid and need,1
22,"Did you know that the UK has reported a record 19,500 COVID cases on Saturday? This is more than double the previous highest day of 4,000 cases in May?

If you",1
23,"In a series of tweets, PM @narendramodi started the second phase of #COVID19 vaccination drive today. 

Here's what he said: https://t.co",1
24,"Why does the #COVID19 vaccine have a higher mortality rate in older adults?

We’re not sure. 

But this chart from the @CDC_GWT shows",1
25,"A few days ago, we shared the story of a woman who went to a doctor and got her #COVID19 vaccine while in jail. She was facing the death penalty. Today, she",1
26,"You have to love the fact that we are starting to see a lot of COVID-19 signs in Japan.
I am going to go ahead and say it: https://t.co/",1
27,"The #COVID19 vaccine is available in Ontario, and this chart shows how it compares to other vaccines. The vaccine was the first vaccine recommended by the province for adults over 50 years of age,",1
28,"The #COVID19 Delta variant is spreading in the United States and it's no joke.

More than 1.5 million people have died from COVID-19 so far, but some",1
29,"UNITED KINGDOM: The UK has now reached its 100% vaccination target.

The total of vaccinated people is 8,527,857 and the tally includes 694 new cases today",1
30,"@BorisJohnson has been sacked by the PM for “not being able to control Covid”.

He blamed his failures on evil Tory government and the Tories who allowed it to",1
31,"ATLANTA, GA - The Florida State College of Medicine is reminding patients that they can receive a COVID-19 vaccine at their local hospital.

More information: https://t.co",1
32,"The #Omicron variant of coronavirus has spread to China, the World Health Organization said on Monday.

Read more: https://t.co/QoY6h5",1
33,"I’ve got a new idea.

This is the first thing I have to do before I can get back into work again. 

I will look up my Covid status",1
34,"@DrKamalGoyal 
, the man who had a major role in solving #COVID19 crisis at @BCCIIndia , has passed away today on age old disease. ",1
35,"Samantha Schiavon, 32yo RN/OTC, Shreveport, LA, died of #covid19 9/15. She was a mom to her daughter and granddaughter",1
36,"Now that the #VaccinePledge is over, let's see how many of us are still getting vaccinated.

The last time this poll was taken in April I had only just started",1
37,"Covid-19 in the US:

https://t.co/4ycYf2Xn8k https://t.co/Z6w1UJF",1
38,"Please note that this is a public health emergency.

The situation in #Thailand is very hazardous and we urgently need more help to combat the spread of #COVID19. 

",1
39,A new study by @UW_Meadowlands shows that the #COVID19 positive test results of people who have already received a second COVID-19 shot (1st dose),1
40,"And the Covid vaccine is safe, right? https://t.co/JsPbNXy8jI

###

         – expected announcement",1
41,The last few days have been a very emotional time for me. I’m sorry to hear of the death of @DrJoAnnMoffitt who was diagnosed with COVID-19 in,1
42,"A couple of weeks ago, when I wrote about how the #COVID19 situation was so bad in Britain that people were still going to the cinema with their children - it seems like we're now",1
43,"#COVID19 in #Ontario:
Over a thousand new cases reported today.
The latest confirmed case – 53189038 - is the 7th active case since yesterday, bringing total",1
44,The two most important things I’ve learnt from Covid is  that the world is not as it was. #Unite2FightCorona https://t.co/5l7,1
45,"The #COVID19 Associated Events Calendar is now available in your browser: https://t.co/2QcJlY0C4U

By clicking the ""Get it here",1
46,A new study shows that the COVID-19 vaccine does not interfere with other immune systems or allow for #SARSCoV2 infection. The findings appear in today’s @Nature,1
47,The World Health Organization (WHO) on Friday issued an emergency directive to temporarily restrict the use of a popular home COVID-19 test kit that many people have long used https://t.co/,1
48,"The BBC has been accused of ""misrepresenting"" Covid-19 data, after a senior broadcaster blamed it for the death of a nurse who died in hospital.

The incident comes just",1
49,"Loughborough University has apologised for a “misleading” tweet about the UK ruling out COVID-19 immunity from its student body.

It followed up by blaming ""unw",1
50,"Today I attended the @WHO #COVID19 Vaccination Seminar, where I was able to hear and share what we are doing in response to this pandemic.
I also met with @",1
51,"I think this is the best thing that's happened to my life since I was diagnosed with Covid. My doctor and his staff are truly amazing, they're so funny and kind, they really care",1
52,"A new study on the world's most vaccinated countries has found that, regardless of whether they have Covid-19 vaccines or not, people living in those nations are at increased risk of severe illness from",1
53,"It’s been a while since I posted. 

I was in Australia during the #COVID19 pandemic, which caused havoc on our streets and disrupted normal life for weeks.",1
54,"A few weeks ago, I shared a tweet that @ExGroupISU had provided to allow the community to know what their organization was doing regarding COVID-19. 

Today's post",1
55,"Covid-19: A Viewing Board

https://t.co/zfTcO3q8uD https://t.co/RgF1Yi",1
56,"I am a teacher, philosopher &amp; healer. I love teaching and helping kids in my community to get back on their feet after getting vaccinated against COVID-19.
I’m",1
57,"COVID-19 vaccine manufacturer Merial says it is ending its expansion of the Pfizer-Dowa vaccine, citing concerns about side effects and safety.

The company has been working with health",1
58,"A new study in @ScientificReview 
shows that the #COVID19 virus can stop cells from forming head and neck arches, but not other internal organs.

The arches",1
59,PUTRAJAYA: The Ministry of Health has set up a hotline number for patients who have questions about the vaccine and are unable to attend a doctors' meeting due to COVID-19.,1
60,"ALBUQUERQUE, New Mexico — The new COVID-19 variant in the United States is linked to a surge of infections among children ages 5 to 11. https://t.co",1
61,"The death of a 19-year-old student at the @Covid_19 facility in #Lansing is raising questions.

She died on Feb. 15, 2019 of pneumonia",1
62,A new study shows that it is possible to treat COVID-19 by using an anti-inflammatory drug. It also provides hope for a treatment that may lead to cure or even reversal of the disease,1
63,"The European Union is preparing to impose a temporary suspension of travel and trade between the UK and Europe, including the EU's third country, Luxembourg.

Read more: https://t.co/",1
64,"A recent study by @iess_e and @ICR_UK shows how the UK is better able to respond to COVID-19 than many other countries.

The article can be",1
65,"I have decided to make a public announcement before this is over. My father died today and my mother has now been in hospital with Covid for 2 weeks. 
I am not going to run",1
66,"News | #Covid19 is a Global Health Crisis
#COVID19 has become the biggest health threat since the pandemic of 2020 &amp; 21. 
We need to act",1
67,"LONDON: The number of people who took over two months to get vaccinated against Covid-19 has been doubled compared with the same period last year, leading to fears that the virus could return.",1
68,"I am extremely grateful for the support of @WearABelay and the city of New York!
I will travel to NYC this weekend to officially announce that I have been completely vaccinated against CO",1
69,"A British woman who helped save her country has died from Covid-19.

Tess Truscott, 58, was an IMA award winner and the first female head of school in",1
70,"The #COVID19 pandemic has been the most dramatic and challenging economic challenge of our time.

As we embark on a new fiscal year, it is vital to recognize that the economy will",1
71,"In response to the recent COVID-19 surge in the US, @OxygenMedics has announced that it will temporarily suspend its O2 therapy as a first line of treatment for patients with",1
72,"A number of countries have passed legislation to stop the spread of Covid-19 as soon as possible. 

We will be following their progress closely and making decisions based on scientific evidence. https",1
73,"""I am so grateful that the National Science Foundation has extended my fellowship for a year to cover COVID-19.""

— @Seth_Shoreman, President and CEO of @",1
74,"With a lot of people saying that covid has made them sick, I wanted to share this thing. It’s from my friend @Werthowam on Instagram https://t.",1
75,"COVID-19 vaccination for children ages 12 to 17 is now open at the following locations. 

Visit https://t.co/JbB0pX1cxF or",1
76,"Nurses in Ireland have been protesting against the government for refusing to vaccinate their patients. 

#VaccinesSaveLives #Covid https://t.co/kQ",1
77,"The Ministry of Health has taken over the responsibility from @nh_ofia and @nesa_nz to provide proper care &amp; protection for all people with #COVID19.
",1
78,"The first time I saw my nephew in hospital was with Covid.
He’s been alright so far and is being really well. 
Myself, wife and son are getting our",1
79,"DISCOVER THE MOST EFFECTIVE WAY TO GET COVID POSSIBLE VACCINES

Get your vaccine via https://t.co/gVpTnAj",1
80,"A new study found that the COVID-19 vaccine protects against hospitalizations for critical care patients and ICU admissions, but not with vaccinated hospitalized adults. This is a big leap in protection from CO",1
81,"Last night was my dad’s 70th birthday. I had to work, so instead of having a celebration with my friends and family last weekend, we decided to have a silent vigil outside the",1
82,"A new study finds that people who get vaccinated against COVID-19, including those in the U.S., do not have higher rates of heart attack or stroke than unvaccinated individuals.
",1
83,"Dixie Chicks singer Gail Kim has tested positive for COVID-19.
https://t.co/GHfNw8QvEg https://t.co/",1
84,"In the wake of rising COVID cases, a new study by @John_McFadyen shows that when children are exposed to multiple viruses at once—the one that causes colds and flu",1
85,"A new analysis of data from the National Statistics Office shows that there is a recent increase in the number of people being admitted to hospital with Covid-19.

The figures show 9,9",1
86,"A year ago today, the #GlobalVaccinationDay was a huge success! 

We’ve seen over 100 million doses administered in 12 months. This has been one of the",1
87,"The #VaccinePassport has been the cornerstone of our national efforts to fight COVID-19.

This year, we plan on making it even more valuable by rolling out a new",1
88,"The Conservative government has released the latest data on COVID-19 hospitalisations.

The total population is now at over 137 million people, with almost half of those cases being mild or non-",1
89,"In the last 24 hours, there have been ~1.5M COVID-19 vaccine doses delivered to the US by @FBI_USA from around the world.

The FBI has worked",1
90,"COVID-19 vaccines are not just for children but also help against severe disease or death.

The world is now on the path to recovery from this devastating pandemic. 

Read",1
91,"@Covid_Sage @SSFSA I have personally been in the hospital with Covid and so can understand your concerns. Please be very careful when you are out and about, especially",1
92,"There is no such thing as “vaccine passport”!

The purpose of a COVID-19 vaccine is to protect you, your family and your community. 

If",1
93,"The #Covid19 crisis is now the largest state-level humanitarian disaster in world history.

It's time to wake up and stop using this tragedy as a cover for our own political",1
94,"A new study shows that the region of Iowa's central valley, where a massive bone-crushing COVID-19 surge hit is most likely to recover. 

But it will be decades",1
95,"COVID cases are now a lot lower than they were in October 2020.

We're still seeing very high numbers of people hospitalized and some deaths, but there's been a significant drop in the",1
96,"A ""vaxxed"" Covid-infected Chinese national is being held in a US prison for his crimes against humanity.

Authorities say he had been released from China on bail after",1
97,"The news that @Miley_Cain has tested positive for COVID-19 is devastating. 

She was in the middle of a performance on Saturday night, and she had been scheduled",1
98,"#COVID19 
#Omicron
In the current #COVID19 situation, we decided to put up an online gallery of photos. Sorry for the delay in uploading them to our",1
99,"The US is the top country in world COVID-19 vaccination rates, and China is way down at #1. 

Why? https://t.co/ycBH0",1
100,"And then there were two.

In the same week, #Covid19 confirmed another 1 million lives in its path (and counting) as the pandemic reaches a new turning point.",1
101,"Covid-19 vaccine: ""Covid-19 vaccines are safe and effective,"" says Dr. Fabrizio Spadaro, Chief of Vaccine Safety for the Italian Ministry of Health",1
102,"LONDON (AFP) 

A British man who tested positive for Covid-19 has been allowed to travel home, the government says https://t.co/Qs8Gv",1
103,BOSTON — The city of Boston is requiring people to get at least two COVID-19 vaccine doses and to be vaccinated against the virus before coming into public spaces. https://t.co/,1
104,"A new study finds that the #COVID19 vaccine protects against severe illness in older people, including heart disease and kidney failure.

https://t.co/JeCc7AJ",1
105,"The New York Times reported on the COVID-19 vaccine trials in the state of Israel.

The trial was sponsored by Lehmann, a pharmaceutical company with close ties to Israeli President Shimon",1
106,"@charles_paterson: ""I will never forget that day when I tried to get out of the bus because it was too crowded. I just remember thinking, ‘why is there so",1
107,"The #MunitionsList is on the verge of being updated, as India continues its process to amend it to include all modern-day vaccines.

At least 10 modern-day vaccines will",1
108,"Mukesh Agarwal, 49 y.o., beloved husband of his family, father of two sons and grandfather to a granddaughter passed away from #COVID19 on December 22, 2021.",1
109,"The #COVID19 vaccine is safe and effective, says the US National Institutes of Health.

This week @DrDavidAcker reports on how COVID vaccines work to protect your health,",1
110,A #COVID19 variant linked to a new form of cancer in the US https://t.co/l1aIgHrDZM https://t.co/Ef,1
111,"The world's largest hospital, the Sotheby’s in New York, has sold a private suite for $11.5 million to a Covid-19 charity https://t.co",1
112,"Q1: What is the cost of COVID-19 to your family?

A: A $5,000 loss. https://t.co/Dd8zvZH",1
113,"The U.S. government is opening the door for expanded COVID-19 testing in schools, but it shouldn't be done on a first-come, first-served basis https://t.",1
114,"DR. ZACHARY SOBOLA, 84, of San Diego died of COVID on Dec. 18, 2020.

""An accomplished surgeon who was a practicing physician for over 40",1
115,"Covid-19: A New Way to Fight the Global Threat

The world has never been more dangerous. 
This week, we heard from a panel of experts on how vaccine development",1
116,A study in @NatureMedicine shows that the long-term effects of COVID vaccine administration on brain and behavioural outcomes were not affected by one's vaccination status. It also found a strong link between,1
117,The “Largest Fake Covid Story” is the story of how an AIPAC donor donated a million dollars to Planned Parenthood. https://t.co/QWZR,1
118,"The UK has lost another 4,000 lives to Covid-19. But the Tories' policies are not only harming those who have already been badly affected - they are destroying our economy and setting back",1
119,"A piece of wisdom from @VedPrakash on how to manage Covid.

The end of winter is the time to be ready for spring, not the time when we are going",1
120,"The #COVID19 vaccine is now available to all Canadians aged 12+ who are fully vaccinated.

This includes those who have already received a dose of the vaccine or have recently been given a",1
121,"The number of COVID-19 cases in the NSW state is increasing as we hit peak hospitalisation.

The latest report from @AusHealth shows a significant increase in patients with confirmed or",1
122,"The first patient to be treated at @Surgery_Pasadena Health System after contracting COVID-19 has arrived in Pasadena.

Dr. Jeff Lee, a specialist in critical care and",1
123,"@EzraTully, @DrJohnHendrix and I were at the UN General Assembly today.

We shared our view of a world that is more interconnected than ever before.",1
124,"Tens of thousands of people in India have been administered 2 doses of the Pfizer COVID-19 vaccine. 

The first dose has been given to about 6 crore people, and the",1
125,"@TripAdhoc 
@VijayLal27 
@ShriKumar_Patel @Mohanlal_1 
@WPMHindi",1
126,"A three-day stay in the Covid-19 vaccination facility at Berhampur has been extended to May 17, June 18 &amp; 24.
The main site will remain open from",1
127,"The world is in an emergency.

With COVID-19 and other serious diseases, vaccines are needed more quickly than ever. 

We must urgently develop a vaccine to defeat the pand",1
128,"COVID-19 vaccine data update: https://t.co/8B2W3qbKGn

###

         – 1,016",1
129,"From the Oxford dictionary: “a term for a child who has been infected with Covid, but is not fully symptomatic” https://t.co/VXUZQf",1
130,"For those of you who are worried about getting COVID-19, here’s a quick summary from the CDC. https://t.co/f5QPx8V7k",1
131,"A new study by @UCSF researchers shows that #COVID19 vaccines can protect children against severe illness.

This paper is now available online at: https://t.co/n",1
132,"Journalists, media workers, students and citizens are called to take part in the local #Covid19 vaccination drive.

Here's a look at their roles: https://t.co",1
133,"""I've been a patient with @MomsRU for over 2 years now. 

When I saw the results of #COVID19, I knew it was time to get vaccinated",1
134,"All the Covid vaccines being given to school staff in Australia are not going to be cheap and can only be paid for by you. 

If you have been given any of these, please",1
135,"A day after it was revealed the U.S. government will extend COVID-19 quarantine for up to six months, a new study suggests that temporary isolates are as susceptible to getting sick or",1
136,"Do you know that the world has been devastated by COVID-19.

This is why we need to support our friends and family &amp; community. https://t.co/I",1
137,"'I am so thankful that I have been vaccinated. 

The vaccine is essential for protecting myself and my family from COVID-19!
""This vaccine will protect us all, no",1
138,"I’ve been working on a book about the long and hard fight to get Covid vaccine for children. 
It will be published in November, which was just after my birthday! ",1
139,"Cool story by @davemccormick from the COVID-19 narrative. 

https://t.co/sYKGjKiZH4 https://t",1
140,"@davidcoates joined @DrKaitlinCoker in demanding answers from President Biden about the COVID-19 pandemic.

""The only way to stop this is to get",1
141,"A new study in @NatureMedicine warns about the likelihood of death from COVID-19 and its variants.
The risk of severe illness, including hospitalization and death, is higher among vaccinated",1
142,"DARLING, JAMMU | An air force pilot has landed in Darlan for a COVID-19 vaccination.

The action was taken following the increasing cases in the area",1
143,"A few weeks ago, I gave the first step to a plan for the future of our government. 

On Monday, we'll be making that final move. 

A plan to",1
144,"The #Covid_19 pandemic is still a serious threat to our health and the lives of everyone around us.
 
The UK has remained at low levels despite the increased strain on",1
145,"Clear the #COVID19 quarantine zone with these fun &amp; easy tips!

🔗️Get vaccinated for free at your local health centre. https://t.co/y",1
146,"A new study finds that in the early weeks after a #COVID19 infection, people who were vaccinated against the coronavirus may be protected from severe illness or death. https://t.co",1
147,"The first thing I noticed when we arrived here was that the air is so much cleaner than in my home town of Cardiff.

The second thing I noticed when we arrived here: Covid has",1
148,"The #COVID19 pandemic is carrying on the same trends that were evident in #Omicron. Now we are witnessing a similar pattern of decline among children 12-15 years old, despite",1
149,"About

I have been diagnosed with COVID and am on a ventilator. I need you to help me get back to normal life as soon as possible🙏 https://t.",1
150,A new study finds that early exposure to COVID-19 can increase immunity and reduce the risk of severe illness in people with weakened immune systems. https://t.co/W1J8K,1
151,"MIAMI (UPD) – The Miami-Dade County Sheriff’s Office announced the suspension of Deputy Chief #MikeVilla after he tested positive for COVID-19.

",1
152,"VIRGINIA HARRIS, 82, of Maysburg, Indiana died of COVID on April 9, 2020. 

""She always had a smile but was known for",1
153,"I am so proud to be part of the #COVID19 response team. I hope you are as well, and that your families &amp; friends will continue to support you through this challenging time",1
154,"The #COVID19 pandemic is not over.

The GOST now has a new, very detailed and long-awaited report on the supply chain of goods during COVID-19.",1
155,"Much of the UK's COVID-19 situation is now being dealt with by a select few. 

One of them has been @DavidFosterMP, who was yesterday told to leave",1
156,"Covid-19 in India: The World’s Most Dangerous Drug.

India is the world's #1 drug of concern for Covid-19 with over 1,200 vaccines",1
157,"Odisha Minister of State for Home Gorai Gyaneshwar, on the occasion of National Day, expressed gratitude to PILs filed by states &amp; districts in the past few years",1
158,"#COVID19 #VaccinesWork 

The US has the most fully vaccinated population in the world. Vaccination rates have dropped to ~40%, most of which is due to people",1
159,"Share this article on ⁦@TheKosovoNews⁩

You will have to pay a fine of 500$, if you do not wear a mask in schools. 
If",1
160,"Visitors to the #COVID19 museum in Gothenburg can now enjoy a free tour of its two exhibits, covering the early years and vaccination.

The first exhibit will reveal how vaccines",1
161,"The #OmicronVariant is spreading in #Georgia.

The state has reported more than 100 cases of COVID-19, and testing has been increasing as well. 

",1
162,The following is a statement from the @CDCgov on the announcement that #COVID19 cases will be reported to the IATSA by Aug. 9: https://t.co/3q,1
163,"The #Covid_19 pandemic is intensifying in the Philippines. There are now more than a thousand cases reported daily, with more than 8,000 people hospitalized and counting.

",1
164,"You can't have a conversation about ""the COVID-19 pandemic"" without also talking about the #Omicron Variant.

@DrMikeHuckabee @BenFauci",1
165,"A new study published in @NatureMedicine shows that the COVID-19 vaccine protects against severe #LongCovid, but not against chronic illness.

#vaccines https://t",1
166,"I was just told that we are down to our last 100,000 of #COVID19 vaccine doses. How can this be? &amp; why won’t the government provide any information",1
167,"The #COVID19 Vaccination Update 🎉

📍90% of eligible people have received their first dose of the COVID-19 vaccine. 

⬇",1
168,"Contact @DrYasmani_Raza or Call 011-9177910 for more information regarding the #COVID19 vaccine.
#IndiaFightsCorona 
#",1
169,"The US has nearly doubled the number of COVID deaths since the end of lockdown. 

While there are concerns about a resurgence in hospitalization, @DrSeanHinds &amp;",1
170,"A man who was injured in a police encounter in #Sindh has passed away due to COVID-19 https://t.co/JQc0ZCf8B7
",1
171,"A new study finds that the vaccine's effectiveness against Covid-19 was less than its effectiveness at preventing other diseases.

The effective amount of protection from Covid-19 is about 2x",1
172,"A massive surge in Covid cases is hitting the UK hard and fast. 

The country has had its most serious and rapid rise since March 2020 &amp; it's probably going to last",1
173,"The #COVID19 vaccine is the safest way to protect yourself and others.

Please join us for a discussion on vaccines with @DrEricaBerman, @Maggie_P",1
174,"A #Covid19 researcher at @UNICEF has been nominated for the 💼Global Scientist of the Year Award 

Read more: https://t.co/Mg",1
175,A new study out today shows the people who are vaccinated against COVID-19 will have higher rates of severe and hospitalization cases than unvaccinated individuals. https://t.co/Bn,1
176,@mohammed_khawaja and @Imrahlajah have been given the first batch of #COVID19 vaccine for the vaccination by @DrSharmanKurian. The,1
177,"News | #COVID19 in #Korea.

The number of people tested has increased by more than 30,000 while the number of confirmed cases has increased by over 8 million. ",1
178,"I have been told by my doctor that I should not get the shot to treat Covid as it comes next week.

I am so sad for him and all his patients. https://t",1
179,"@adam_davidjohns Even if you're not vaccinated, it's still wise to wear a mask and get your shots as soon as possible.
#COVID19 #Vacc",1
180,"Covid is a disease, not a party.
#COVID19 https://t.co/UW1nZJp6Sx

###

    ",1
181,"Pfizer COVID-19 vaccine for children ages 5 &amp; up to 11 years old is now available.

The vaccine, administered by trained health professionals, protects against serious diseases and",1
182,"A man in #Queensland is suing the government after being branded a “fraud” for not vaccinating his kids against COVID-19.

He wants $1 million",1
