feature,mi_score
lexical_avg_word_length,0.31267603064361427
structural_hashtag_density,0.2836462880360133
syntactic_pos_bigram_entropy,0.27601351521561646
structural_has_hashtag,0.2741807600940307
lexical_word_length_variance,0.2213395040124424
syntactic_punct_ratio,0.19065014409911374
lexical_type_token_ratio,0.18061253968396462
syntactic_avg_sentence_length,0.15706293962339068
stylistic_exclamation_density,0.14310127786520743
lexical_stopword_ratio,0.1366375909670905
structural_mention_density,0.11648826845437887
syntactic_comma_ratio,0.11582287790668122
structural_has_mention,0.11392469656666981
of,0.06396239654483726
the,0.06179379749268232
stylistic_emoji_density,0.0551220165283377
co,0.04931677943876811
my,0.047152615602577
structural_extra_spaces,0.046771729818019914
stylistic_repeated_chars,0.03899059389328019
future,0.0355854283354311
teachers,0.035374237787679785
learning,0.03449354825052975
our,0.032722516968768156
stylistic_question_density,0.032360253800842065
in,0.03139544489545565
an,0.03130913448469874
imagine,0.03066225365524322
structural_temporal_markers,0.03042719290926077
aiineducation,0.027738543117194592
me,0.027009301041676315
edtech,0.02684570015006771
artificial intelligence is,0.026298912572254807
their,0.025943300207216247
stylistic_ellipsis_count,0.025686420119197084
classrooms,0.02545607216353507
student,0.02487988375949568
teaching,0.024549302019669428
to,0.024093600146015026
is,0.02406625025239184
intelligent,0.02346256549100345
revolutionizing,0.023345122548489528
futureoflearning,0.023165136556443366
and,0.0226435695687639
by,0.020863604079994102
transforming,0.020032954047775275
systems,0.019745587595997982
imagine an,0.01951019786941055
schools,0.019305705383712457
future of,0.019153185093453207
we,0.019108169594759916
more,0.01901243853212975
structural_url_density,0.018805947490911912
content,0.01860697379891585
from,0.01857222659854707
artificialintelligence,0.018125421315340118
in education,0.01761697479740776
adaptive,0.017527406334749918
virtual,0.017440610331719952
feedback,0.01738304983855321
ai powered,0.017140578521029015
technology,0.016797896079130403
data,0.016379276800070786
intelligence isn,0.016158275516952036
ai is,0.016085746118965405
trump,0.01597005859964984
embrace,0.01592099832674565
let,0.01586195891104425
potential,0.015706085522123825
educators,0.015644333269198007
we teach,0.015196599181376724
learn,0.015131927528326816
structural_has_url,0.015069447701650862
for,0.015018429941747513
every,0.014897537488099966
personalized,0.014666090340092364
learners,0.014505711232466245
ai is revolutionizing,0.014165435334838161
tools,0.013869261442563507
than,0.013862030814432158
ai can,0.013855290023128797
has,0.013624056408447327
creation,0.013430949879698284
system,0.01321481105754696
powered,0.013107737092603156
human,0.013046828388384446
com,0.012939902068049403
world,0.012919394459763645
the power,0.012829944221224299
change,0.012708244546894232
lol,0.012696762789155214
of ai in,0.012678319409537897
educational,0.012655681649577089
analytics,0.012513693671209136
as,0.012086581591920442
president,0.012075184273126371
good,0.012027631197308875
smarter,0.011965717081513283
intelligent tutoring systems,0.011888680112356775
go,0.011753285191202556
not just,0.011633061185201354
exciting,0.011594624586129587
the rise,0.011480736009890746
tutors,0.01145553797048593
with,0.011342862922486763
love,0.011200651848549237
classroom,0.010972614643289802
how we,0.010527186957659973
is here,0.010490636492525907
future is,0.010466081815615702
thoughts,0.010432823251050882
is revolutionizing,0.01042329940095188
into,0.010394079296385916
time,0.010245391265602644
that,0.01023067332273686
oh,0.010204068486092899
of artificial intelligence,0.010105135473730709
child,0.010084417482071784
of ai,0.010055731336201967
the science,0.009902703892799014
it,0.00974643035617917
our schools,0.009673948797565002
help,0.009635996797063617
before,0.00955238087764787
gaps,0.009166139780741434
ve,0.009153677915546554
this,0.009037036195089998
can,0.009034142563994596
making,0.009017221918079965
assistant,0.008947372200877268
embrace this change,0.008885908552979771
want,0.008840429969735997
helping,0.008775315829889552
to smart content,0.008765167820770081
engineering,0.008761701718803305
some,0.008760107229056846
assessments,0.008573259410197709
but,0.00854761511848423
smart,0.008232054195618677
twitter,0.00813259838580338
http co,0.007914378124569854
