feature,mi_score
structural_has_hashtag,0.30509382579891065
structural_hashtag_density,0.2950124684900082
lexical_word_length_variance,0.28356982486536375
https,0.22506279586493205
modi,0.19562118172559173
co,0.19146156013731597
structural_has_url,0.19018191685162544
https co,0.1882363378808214
structural_url_density,0.18657106096484322
structural_extra_spaces,0.16759760639114218
stylistic_capitalization_inconsistency,0.1653504434757398
stylistic_capitalization_inconsistency.1,0.1646713907922357
of,0.14225331931581264
the,0.1394878666075401
lexical_avg_word_length,0.1386693631876732
stylistic_random_uppercase.1,0.11964022038766475
syntactic_pos_tag_entropy,0.11851567384234185
stylistic_random_uppercase,0.11815064130663444
is,0.11401951730110627
syntactic_avg_sentence_length,0.10990218992025413
syntactic_pos_bigram_entropy,0.10937543827866758
in,0.10898357609788367
lexical_word_count,0.10293278072067569
to,0.0966284220194189
lexical_unique_words,0.09599290451447784
lexical_stopword_ratio,0.08961868865139877
climate,0.08609055626347017
climate change,0.08231048278476938
trump,0.07475617529160727
change,0.07063214504818371
lexical_type_token_ratio,0.06001758460360063
covid,0.05395048158845528
science,0.04399741756546627
19,0.038889390626110965
covid 19,0.03813006635361038
we,0.03740675805294735
covid19,0.032593785743946224
on,0.031587269119969896
us,0.030511851557670777
structural_mention_density,0.030057099787774044
stylistic_exclamation_density,0.02891389730620686
by,0.02863526470850286
and,0.028419065590058468
the trump,0.02804770010279145
new,0.025774196865020027
of the,0.02471676863186678
in the,0.024708467970898207
nt,0.024226111030305697
administration,0.02158920609853987
has,0.021254918590872363
the us,0.019043501362570492
trump administration,0.018542570741687747
the trump administration,0.018246573700258173
vaccine,0.01761493759248145
it,0.017540678003324706
as,0.016255872345424693
structural_temporal_markers,0.015955118080318798
be,0.015546570524136882
bjp,0.014738574532797033
an,0.01449255962632301
president,0.014293039951080555
syntactic_punct_ratio,0.014250518797835676
pandemic,0.013883604121573967
engineering,0.013459573347679665
biden,0.013127306014539597
the covid19,0.012796947402084147
been,0.012775917045433127
this is,0.012598767340909811
donaldtrump,0.012551061740227798
climate change is,0.012266579083368256
narendra modi,0.012140437041705088
india,0.01206675231745824
narendra,0.011948874388876707
has been,0.011887117298919225
world,0.011720430177009966
the world,0.011302924629183364
our,0.011239412425012585
new study,0.011157049997964297
stylistic_ellipsis_count,0.010981930688193309
syntactic_subordinating_conj,0.010827713439267583
is the,0.010707263142645251
study,0.010483620044799524
the science,0.010143256957526825
govt,0.010051032740636456
change https co,0.009919031169675296
on climate,0.009818321767141258
change is,0.009774286608980942
we are,0.00975222842078538
science https,0.00966871069285058
at,0.009646193549366355
do nt,0.009381333604539632
the first,0.00936601256038383
trump campaign,0.009065454441999687
on climate change,0.00904650178588673
he,0.009024198051979182
you,0.008965544508334977
change https,0.008857145424544521
did,0.00874723439981051
of covid,0.008722619219934113
modis,0.008639433269142183
health,0.008536258206312208
congress,0.008486943473459796
science https co,0.008423925762051754
stylistic_emoji_density,0.008203507519515041
joebiden,0.0081271057388006
stylistic_repeated_words,0.008023791283340964
of climate,0.00801792548929292
that,0.007997317390187941
first,0.007915562617557992
change and,0.0077535230505421104
trump administration is,0.007579791414203285
rahul,0.007422048635452594
election2020,0.007391518206719905
are,0.0072486079559408445
climate change https,0.0072290736175879555
states,0.00721458564333699
will be,0.006947796691084029
uk,0.00692335418025114
vaccination,0.0068711827362770705
science of,0.006786335744725758
global,0.00673016523559089
my,0.006706655041648135
about,0.00664626710769145
administration is,0.006644740986359032
the uk,0.006147365348415645
re,0.0060386161391696724
we re,0.005850891231640842
climate change and,0.0058428732020525675
from the,0.005663353481769384
campaign,0.005580430689056781
indian,0.005484516794244332
is not,0.005455902222930575
on the,0.0053979953632730115
stylistic_question_density,0.005377935686964541
report,0.005373337110842202
to the,0.005371895409954863
poor,0.005105597074146484
should,0.004907389508438165
from,0.004888886799747638
quot,0.004809232360976523
and the,0.004799320198304313
will,0.004793965103269793
shows,0.004736419407683545
technology,0.004716245401225505
party,0.004710501870357486
then,0.004624101999977759
if,0.0045821406333403925
for,0.0045418398302010665
over,0.004517808502045639
me,0.004488734170464692
year,0.004421018409338728
the most,0.004378924457088873
nation,0.004327453651122415
that the,0.0041792183662183735
not,0.004088871865491228
number,0.004074412552294904
money,0.004016378653141528
action,0.003879389025500002
at the,0.0038385335453650082
to be,0.0038020212209701754
help,0.003775687654834492
cases,0.003772544876345263
again,0.0037390732114450653
like,0.0037041132550339473
too,0.003686907522923555
stylistic_repeated_chars,0.0036142340322788957
just,0.003593172476443973
more than,0.003502155544719221
people,0.003445087795497459
more,0.0034383403273523516
amp,0.003433726856506336
team,0.0033951691451821198
most,0.0033889607255388476
how,0.003387875112283334
about the,0.0033812522200828976
good,0.0033120303421467767
never,0.003226425740945782
to get,0.0031802294637484074
fight,0.0030879391841565074
him,0.00308743121558952
live,0.0030384113425485637
need to,0.002934870109372101
real,0.0028710038711514674
state,0.002858769205956291
next,0.002809624735682803
it is,0.0027309171621667794
was,0.0026939128604424045
why,0.0026282929375636144
minister,0.002616877867891665
give,0.0026160347196055866
love,0.002614812583217052
work,0.002584085187311569
come,0.0025758733410197188
for the,0.0025591225016929897
say,0.002471342372921015
this,0.0024622343228604127
off,0.0024390950888217855
got,0.0023725117568536014
if you,0.002355424494870917
think,0.002341219985635856
few,0.00232811547948808
only,0.0023228344407786317
well,0.0023084315274510825
who,0.0022941686951041262
against,0.0022840776443411315
better,0.002228946930460163
said,0.002214394270006137
now,0.0020922131131078103
structural_has_mention,0.0020863510551965003
news,0.002025137625869089
any,0.0020051783305807813
the country,0.0019696004159819314
done,0.0019637868518240786
with,0.0019419264094708844
future,0.001915640376461969
with the,0.0019042822813220006
have,0.001847045895017052
have been,0.0018374736860948815
way,0.0017498618080924455
they,0.0017070486831947118
them,0.001676437107799078
power,0.0016508970642568066
support,0.0016386450959715582
here,0.0016365290793898257
week,0.0016297037871255693
such,0.0016032876440661425
every,0.0015930201836011904
thanks,0.0015698682438574085
or,0.0015395857668161206
but,0.001498984617054333
than,0.001497773187009388
even,0.0014803296191039372
syntactic_comma_ratio,0.0014718944500524689
really,0.0014692198700618775
national,0.0014357903492130397
your,0.001415774078456833
what,0.0013807270158525675
election,0.001368560532623686
right,0.0013563743923195037
were,0.001351427475599909
much,0.0013350764757564804
government,0.0013343515921431237
best,0.0013292560001210152
want,0.0013132023740514143
does,0.0012925862097665775
working,0.0012747151040970461
you are,0.0011769423497451914
day,0.0011642283768058537
stylistic_emoticon_density,0.0011508590252560236
go,0.0011229898685571893
when,0.0011155394372710514
need,0.0010660209939050702
space,0.0010445710879782855
all,0.001010491250590384
up,0.0009978748952688132
get,0.0009834752774169342
structural_is_retweet,0.000973034436775766
going,0.0009356305622261196
had,0.0009166714305879342
going to,0.0009030308499906603
life,0.000890669104202324
important,0.0008565741770281132
made,0.000850852704236571
its,0.0007997654928217912
http,0.0007763492978765107
vote,0.000770834385144914
his,0.0007577942524545911
many,0.0007453640384018634
today,0.0006671297638682905
make,0.0006514299069595442
those,0.0005817244393655496
their,0.0005635348557273545
do,0.0005268699423535139
so,0.00048483966807433276
also,0.00047403809010337916
media,0.0004505224666884189
ca,0.00044550545947075193
before,0.0004254360115338862
same,0.00041129946370555004
after,0.0003641569630630226
can,0.0003581321947911942
big,0.0003556436795921769
could,0.0003478821800853016
very,0.000335046422223817
know,0.00027522261589685293
she,0.0002701607115536131
which,0.0002656837344772178
these,0.0002545645196725399
must,0.00018275022386426976
ve,0.00017990725655048223
read,0.00017042432474556612
ever,0.0001539607836471557
into,0.00010085478060650743
country,9.818195449695644e-05
time,8.04046291527083e-05
one,6.096424228774211e-05
because,4.6983598244398905e-05
see,6.689480029464789e-06
where,0.0
via,0.0
says,0.0
other,0.0
out,0.0
please,0.0
no,0.0
win,0.0
while,0.0
years,0.0
would,0.0
man,0.0
last,0.0
long,0.0
getting,0.0
may,0.0
since,0.0
great,0.0
take,0.0
some,0.0
still,0.0
stop,0.0
home,0.0
her,0.0
doing,0.0
down,0.0
being,0.0
already,0.0
am,0.0
back,0.0
there,0.0
two,0.0
under,0.0
use,0.0
