feature,mi_score
structural_hashtag_density,0.5294914952063248
structural_has_hashtag,0.5123221613913349
lexical_unique_words,0.4696184613856662
syntactic_pos_bigram_entropy,0.4425191010726801
lexical_word_count,0.4194127142367836
lexical_avg_word_length,0.40751661454073895
lexical_type_token_ratio,0.3790051064177551
syntactic_punct_ratio,0.3652893863901707
lexical_word_length_variance,0.33748697768242186
ai,0.32520673150714874
stylistic_exclamation_density,0.3209829079645228
syntactic_pos_tag_entropy,0.31042721293151
lexical_stopword_ratio,0.2692671354566556
syntactic_avg_sentence_length,0.23438750746961157
structural_has_mention,0.19138832195260647
structural_mention_density,0.18529840041013168
syntactic_comma_ratio,0.15692072811495628
structural_extra_spaces,0.14798816620714295
artificial,0.12404371712751927
intelligence,0.12039474766625857
artificial intelligence,0.11815202608370656
stylistic_emoji_density,0.11381685065110148
education,0.10477820958807205
students,0.09200498212806973
stylistic_question_density,0.07400211995699979
stylistic_repeated_chars,0.07251724712821583
teachers,0.07182559478152051
imagine,0.06836044998098512
edtech,0.06447182577060362
future,0.0639104752811468
learning,0.0614696896025404
my,0.060383651330973453
an,0.05486321021450058
aiineducation,0.05190422175911813
classrooms,0.051630289210758296
artificial intelligence is,0.04927575624516356
revolutionizing,0.04890457060317055
smart,0.04809632920534912
the future,0.04788905915426511
teaching,0.04555640598227262
powered,0.043392100748893325
intelligent,0.04325540182156762
personalized,0.04306291457417033
futureoflearning,0.04256093234815039
our,0.0414323079125396
imagine an,0.04110605109163612
learn,0.04037339500203618
intelligence is,0.03997372805347732
schools,0.03984419446875864
content,0.03863863832353487
let,0.03787261040099188
syntactic_subordinating_conj,0.036421514328647264
in education,0.03572707692424881
of,0.03515963332712335
smart content,0.03511613757034504
ai is,0.03407956510269239
adaptive,0.03345475271725684
systems,0.03327037996552651
from,0.033250537695301396
we,0.032857053175550766
assistant,0.03268727481905298
tutors,0.032526922001771874
feedback,0.032238813841558134
transforming,0.032189167151250864
to,0.031674927741597525
their,0.03165234579407117
embrace,0.03151619955428475
how,0.03096367746636064
ai in,0.030655118162766115
help,0.030434876094231678
more,0.030045512569551347
goodbye to,0.03000000939740488
structural_temporal_markers,0.029870732031784586
the power,0.029552357075384172
virtual,0.029388606086559133
how we,0.02937852505987637
smarter,0.029152794138321392
potential,0.028895489569846333
is,0.02866522320644327
student,0.02856801396157116
of ai,0.028459900381750725
rise,0.028313235728894437
the future of,0.02750117607887792
ai can,0.027315558703907117
is here,0.027204517448041976
for,0.027165437637293177
this change,0.02704253564940884
methods,0.027012184562444252
educators,0.02694267483553947
artificialintelligence,0.026927730514134218
exciting,0.026926984082187744
did you know,0.026826235745453397
technology,0.02678545450746217
teaching methods,0.026716555807355657
real,0.026667263850185252
me,0.026009185193961226
tools,0.025986313336823885
smart content creation,0.025760939038656616
virtual tutors,0.02547130503703743
future is,0.02508681123704104
is revolutionizing,0.024568580275988294
embrace this change,0.024483295705896913
predictive,0.0243639715304802
assistant that,0.024198813648566686
before,0.02379988241477693
teach,0.023722909513572032
educational,0.023334079851617062
artificial intelligence isn,0.023098343869957016
with ai,0.022942335025482485
creation,0.02273760058574381
analytics,0.02273067026131592
data,0.02250412903903598
stylistic_ellipsis_count,0.022206825967077792
identify,0.021865426006906885
learners,0.021845921974537497
every,0.021803120013275112
assessments,0.021741622566664454
can,0.02156032363796867
provide,0.02141809990039034
future of,0.021327734120939246
time,0.021281145756653075
tutoring systems,0.021211203853110927
not just,0.021184009975341755
child,0.021123020337524778
the future is,0.02095659746388634
tech,0.020688969459965678
with,0.02048260527795387
tutoring,0.0202685414534558
this,0.02024765344208812
am,0.020212400553148324
intelligent tutoring systems,0.020173809819836075
classroom,0.02004253558569391
rise of,0.020036378352095152
real time,0.019920737440718872
structural_has_url,0.01988245632230834
going,0.019836568983128577
than ever,0.01962812154783955
gaps,0.019552229011154054
intelligence isn,0.019481465309617807
content creation,0.019444139128619753
providing,0.019345620258279794
tasks,0.019305767408320795
of ai in,0.019300785364456452
are you ready,0.01925180902651169
was,0.01920112065738966
intelligent tutoring,0.019144412285396095
ai is revolutionizing,0.019062204034709485
in,0.018925825171320243
thoughts,0.01848084251411075
systems to,0.018306594463812775
the,0.01826578006334212
sci fi,0.018179550253722754
ai powered,0.018050639309295624
learner,0.01798402277681399
just for,0.017727904526299243
have,0.01772402160913078
we teach,0.017693982698769872
making,0.017673257607848658
where,0.017648097709115795
gaps in,0.017483245598625796
is transforming,0.01747582508398371
strengths,0.017446942932853204
individual,0.017216675116024316
go,0.017179722865528158
they,0.017099525310806607
helping,0.017016553532901213
predictive analytics,0.017012064330782506
love,0.0169868990683808
embrace this,0.01694065200542827
to smart content,0.016808553938526094
them,0.01673845044217015
goodbye,0.01663227707029802
the rise of,0.016367651225678514
futureofeducation,0.01634732243510184
structural_url_density,0.016050794386204048
can help,0.015996825041320273
aiinedu,0.015991235125438763
personalized learning,0.015518098758022347
let embrace,0.015504778187553692
intelligence isn just,0.015337856227075175
power,0.014968313126631827
grading,0.014931236171583873
better,0.014915060234076183
weaknesses,0.014832314305546657
sci,0.01465123273790514
http,0.01459621339493311
power of,0.014337318280049915
imagine an assistant,0.014309253851208847
understanding,0.014235867991118534
future is here,0.014192380412040517
just about,0.014038689604975563
tutoring systems to,0.013800620397030006
the power of,0.013711947535663738
game,0.013660123529203538
from intelligent,0.013585207397875498
know,0.01349384778425744
really,0.013484465173256854
needs,0.013434964799361682
our classrooms,0.013398655793006364
ever,0.013298665629417172
be,0.013147790164496076
for all,0.01307403507159055
of artificial intelligence,0.013021222225971352
it,0.012937912363898407
now,0.012883348133259753
say goodbye to,0.012737205958572861
together,0.012650538001361511
real time feedback,0.012566511491229893
by,0.012526234185910923
our schools,0.01225012228117417
and,0.012163606499204116
isn just,0.01215615464363462
effective,0.012140256367784152
just,0.012002139864122796
based,0.01192834553825639
time feedback,0.01186757812497441
about,0.011866413978689705
fi,0.011810481177374488
as we,0.01180469680321039
of artificial,0.011680662922014529
the rise,0.011609737046204494
change,0.011450690614148273
