feature,mi_score
structural_hashtag_density,0.5256279868425233
structural_has_hashtag,0.5106598950337915
lexical_unique_words,0.4740180915980472
syntactic_pos_bigram_entropy,0.44451497254538475
ai_topic_shifts,0.4409946499419115
lexical_word_count,0.41685114081693175
lexical_avg_word_length,0.4111753574350925
ai_perplexity_score,0.3757408880646307
syntactic_punct_ratio,0.3710845862751695
lexical_type_token_ratio,0.3707159786823506
lexical_word_length_variance,0.3377472907028143
stylistic_exclamation_density,0.3212723556733541
syntactic_pos_tag_entropy,0.31073873036472444
complexity_long_sentences,0.2989771114405968
lexical_stopword_ratio,0.27462595639436005
complexity_rare_words,0.27264116268431304
syntactic_avg_sentence_length,0.22040905475837191
complexity_syntactic_depth,0.19928333584248525
structural_has_mention,0.18930784372152942
structural_mention_density,0.18523832658136907
syntactic_comma_ratio,0.1514926941953647
structural_extra_spaces,0.13857182283339808
artificial,0.12360492991177385
education,0.1202794525927231
intelligence,0.11974260451298346
artificial intelligence,0.11410048711511833
stylistic_emoji_density,0.11227668804023438
teachers,0.08304093115448219
stylistic_question_density,0.08047347701149432
imagine,0.07752196653685495
students,0.07657051791692804
learning,0.06998421804868538
edtech,0.0665187245578105
my,0.06346669998041388
classrooms,0.06053468958991792
stylistic_repeated_chars,0.05949398649501347
temporal_future_ratio,0.05788128820770644
an,0.05688811743006661
future,0.05570046317330202
mistral_structured_density,0.052826977249654794
the future,0.05244836638685002
chatgpt_structured_output,0.05131658032584441
llm_structured_output,0.04970764086639945
aiineducation,0.048812094384428795
let,0.04622218657018973
complexity_subordinating_ratio,0.04452860057228958
teaching,0.04442595992183662
transforming,0.043965196423428665
content,0.04348890551764106
powered,0.0430094263719063
revolutionizing,0.0429676900349083
ai is,0.042858952938671147
intelligence is,0.04258426705051388
smart,0.042506218793315176
learn,0.04248766928657499
artificial intelligence is,0.042081145478673365
our,0.04206303435940195
structural_temporal_markers,0.04068000498870927
futureoflearning,0.03989782801481123
imagine an,0.03967238206071877
me,0.03750486959962207
personalized,0.03750394206504204
systems,0.03732296006975999
feedback,0.037118897627674396
of,0.03691236319240154
is revolutionizing,0.0363595721457457
student,0.03541716586032018
adaptive,0.03408633852135501
